Anime-PlanetID,Name,Alternative Name,Rating Score,Number Votes,Tags,Content Warning,Type,Episodes,Finished,Duration,StartYear,EndYear,Season,Studios,Synopsis,Url,picture_url,image_file
17068,Artiswitch,Unknown,2.712,18,"Magic, Mysterious Shop, Short Episodes, Original Work",Unknown,Web,1,False,8,2021,Unknown,Spring 2021,Sunrise,No synopsis yet - check back soon!,https://www.anime-planet.com/anime/artiswitch,https://cdn.anime-planet.com/anime/primary/artiswitch-1.jpg,17068.jpg
17084,Wushang Shen Di 2nd Season,Unknown,4.369,10,"Action, Fantasy, Ancient China, Chinese Animation, Short Episodes, CG Animation",Unknown,Web,7,False,8,2021,Unknown,Unknown,Ruo Hong Culture,Second season of Wushang Shen Di .,https://www.anime-planet.com/anime/wushang-shen-di-2nd-season,https://cdn.anime-planet.com/anime/primary/wushang-shen-di-2nd-season-1.jpg,17084.jpg
17104,Seirei Gensouki: Spirit Chronicles Mini Anime,Seirei Gensouki Mini Anime,2.616,12,"Chibi, Short Episodes, Based on a Light Novel",Unknown,Web,2,False,2,2021,Unknown,Spring 2021,AQUA ARIS,Chibi shorts for Seirei Gensouki: Spirit Chronicles published on the official Twitter and YouTube accounts for the series.,https://www.anime-planet.com/anime/seirei-gensouki-spirit-chronicles-mini-anime,https://cdn.anime-planet.com/anime/primary/seirei-gensouki-spirit-chronicles-mini-anime-1.jpg,17104.jpg
1716,Great Mazinger vs Getter Robo,Great Mazinger tai Getter Robo,2.971,308,"Action, Mecha, Sci Fi, Combining Mecha, Crossover, Super Robot",Unknown,Movie,1,True,30,1975,1975,Unknown,Toei Animation,"When an UFO delivers a metal-eating monster to the heart of Japan, Getter Robo and Mazinger Z are launched to combat the alien menace. Fighting individually, the space monster's metal-eating and acid-spitting abilities prove too much for Japan's super robot forces - only their combined might stands a chance against defeating it! But with Mazinger Z damaged, can Getter Robo defend against the monster long enough for its comrade to be repaired? And even with forces combined, can they defeat the monster before all of Japan is destroyed?",https://www.anime-planet.com/anime/great-mazinger-vs-getter-robo,https://cdn.anime-planet.com/anime/primary/great-mazinger-vs-getter-robo-1.jpg,1716.jpg
1717,Mazinger Z vs Dark General,Mazinger Z tai Ankoku Daishougun,3.008,260,"Action, Mecha, Crossover, Super Robot",Unknown,Movie,1,True,43,1974,1974,Unknown,Toei Animation,"Kouji, Boss and the rest of the gang are taking some well needed rest and relaxation on a hot and sandy beach. The tranquility of the day is broken by a harbinger of doom: a robed prophet who foretells the end of the world at the hands of the General of Darkness! Though skeptical, news reports from around the world soon confirm that Earth's major cities are under attack, and only one thing can stop the carnage - Mazinger Z! Along with Diana A, Boss Borot and the rest of the team, Mazinger Z will fly and fight his way to victory to save the world from the General's assault!",https://www.anime-planet.com/anime/mazinger-z-vs-dark-general,https://cdn.anime-planet.com/anime/primary/mazinger-z-vs-dark-general-1.jpg,1717.jpg
1718,Mazinger Z vs Devilman,Unknown,2.787,344,"Action, Mecha, Sci Fi, Shounen, Crossover, Demons, Supernatural, Super Robot, Based on a Manga",Violence,Movie,1,True,43,1973,1973,Unknown,Toei Animation,"While fighting with some of his enemies Mazinger Z inadvertently knocks them into a volcano, where they crash into the prison of the Satan race and release Pheonix Jenny! Dr. Hell, learning of this, frees the rest of the Satan race and teams up with them to defeat Mazinger Z, and their ability to fly proves to be too much for our hero. Meanwhile, Devilman is also individually fighting the members of the Satan race, but their combined power is too much for him as well; can Mazinger and Devilman put aside their differences and team up to defeat Dr. Hell and the Satan race?",https://www.anime-planet.com/anime/mazinger-z-vs-devilman,https://cdn.anime-planet.com/anime/primary/mazinger-z-vs-devilman-1.jpg,1718.jpg
1736,Great Mazinger vs Getter Robo G: The Great Space Encounter,Great Mazinger tai Getter Robo G: Kuuchuu Dai-Gekitotsu,2.649,210,"Mecha, Sci Fi, Combining Mecha, Crossover, Super Robot",Unknown,Movie,1,True,25,1975,1975,Unknown,Sunrise,"When a UFO arrives from space and attacks the Getter Institute, Getter Robo is launched to stop it; but the might of the UFO and its giant space monsters prove to be too much for the Getter team. Not only is Getter Robo defeated, but Ouishan is killed in action! With Getter Robo out of commission, the world's only hope appears to be Great Mazinger, but the aliens' power might also be too much for even him. Can Dr. Saotome build a new Getter Robo in time to help save Great Mazinger, Japan, and the entire world?",https://www.anime-planet.com/anime/great-mazinger-vs-getter-robo-g-the-great-space-encounter,https://cdn.anime-planet.com/anime/primary/great-mazinger-vs-getter-robo-g-the-great-space-encounter-1.jpg,1736.jpg
1740,UFO Robo Grendizer vs Great Mazinger,UFO Robo Grendizer Tai Great Mazinger,2.924,240,"Mecha, Sci Fi, Crossover, Super Robot",Unknown,Movie,1,True,24,1976,1976,Unknown,Toei Animation,"In the pursuit of UFO Robo Grandizer, the evil Vega Military sends Captain Batus to supervise their current Earth forces and issue an ultimatum: defeat Grandizer, or be exiled to the Freezing Universe! The Vegans launch an attack, and Kouji flies out to defeat them; but before he is able to get to Great Mazinger he is captured. Unable to get Kouji to reveal the location of Grandizer, the Vegan forces use this opportunity to capture Great Mazinger in order to use its power to their own evil ends. With Kouji kidnapped and Great Mazinger in the hands of the Vega military, only UFO Robo Grandizer has the ability to save the world!",https://www.anime-planet.com/anime/ufo-robo-grendizer-vs-great-mazinger,https://cdn.anime-planet.com/anime/primary/ufo-robo-grendizer-vs-great-mazinger-1.jpg,1740.jpg
1744,Forest of Piano Movie,Piano no Mori Movie,4.152,2624,"Drama, Classical Music, Music, School Life, Based on a Manga",Unknown,Movie,1,True,100,2007,2007,Unknown,MADHOUSE,"Born into the wealthy family of a famous musician, Shu Amamiya feels it is his fate to become a professional pianist. But when he transfers to a new elementary school, his goal is threatened by an obnoxious classmate, Ichinose Kai, who has the ability to produce beautiful sound from a piano that was thought to be broken. The two quickly become friends; however, their friendship is tested when they face off in a competition to determine who has the better skill, greatest ambition, and the strongest love for the piano.",https://www.anime-planet.com/anime/forest-of-piano-movie,https://cdn.anime-planet.com/anime/primary/forest-of-piano-movie-1.jpg,1744.jpg
1749,Blade of the Phantom Master,Shin Angyo Onshi,3.536,2116,"Action, Fantasy, Magic",Unknown,Movie,1,True,90,2004,2004,Unknown,OLM,"Munsu is an Angyou Onshi - an arbiter for the country of Jushin. Fighting evil is all he knows, but since Jushin has recently collapsed, what is he fighting for? Wandering from place to place, Munsu finds himself battling those who would further destabilize the country, whether they be arms dealers, smugglers, tyrants, or necromancers. Accompanied by a female warrior named Chunhyan and able to call upon the strength of a ghostly legion with his Angyou Onshi powers, Munsu sets out to help those who are willing to take a step towards helping themselves, and bring justice against all that is evil in the world.",https://www.anime-planet.com/anime/blade-of-the-phantom-master,https://cdn.anime-planet.com/anime/primary/blade-of-the-phantom-master-1.jpg,1749.jpg
